category,package,group,status,body_texture_id,body_png,body_width,body_height,overlay_family_count,overlay_texture_count,preview,composition,notes
outgame_navigator,0x00806795,g00,mapped,0x00806795/g00/00000,packages\0x00806795\png\g00_00000_872x960_bc7.png,872,960,2,21,previews\outgame_navigator\0x00806795_g00.png,projects\outgame_navigator\0x00806795\g00\composition.json,
outgame_navigator,0x00806795,g01,mapped,0x00806795/g01/00000,packages\0x00806795\png\g01_00000_872x960_bc7.png,872,960,2,21,previews\outgame_navigator\0x00806795_g01.png,projects\outgame_navigator\0x00806795\g01\composition.json,
outgame_navigator,0x00806795,g02,mapped,0x00806795/g02/00000,packages\0x00806795\png\g02_00000_872x960_bc7.png,872,960,2,12,previews\outgame_navigator\0x00806795_g02.png,projects\outgame_navigator\0x00806795\g02\composition.json,
outgame_navigator,0x00806795,g03,mapped,0x00806795/g03/00000,packages\0x00806795\png\g03_00000_872x960_bc7.png,872,960,2,12,previews\outgame_navigator\0x00806795_g03.png,projects\outgame_navigator\0x00806795\g03\composition.json,
outgame_navigator,0x00806795,g04,mapped,0x00806795/g04/00000,packages\0x00806795\png\g04_00000_872x960_bc7.png,872,960,2,6,previews\outgame_navigator\0x00806795_g04.png,projects\outgame_navigator\0x00806795\g04\composition.json,
ingame_navigator,0x00C36166,g00,mapped,0x00C36166/g00/00000,packages\0x00C36166\png\g00_00000_260x180_bc7.png,260,180,2,24,previews\ingame_navigator\0x00C36166_g00.png,projects\ingame_navigator\0x00C36166\g00\composition.json,
outgame_navigator,0x022924F0,g00,mapped,0x022924F0/g00/00000,packages\0x022924F0\png\g00_00000_872x960_bc7.png,872,960,2,36,previews\outgame_navigator\0x022924F0_g00.png,projects\outgame_navigator\0x022924F0\g00\composition.json,
outgame_navigator,0x022924F0,g01,mapped,0x022924F0/g01/00000,packages\0x022924F0\png\g01_00000_872x960_bc7.png,872,960,2,36,previews\outgame_navigator\0x022924F0_g01.png,projects\outgame_navigator\0x022924F0\g01\composition.json,
outgame_navigator,0x022924F0,g02,mapped,0x022924F0/g02/00000,packages\0x022924F0\png\g02_00000_872x960_bc7.png,872,960,2,17,previews\outgame_navigator\0x022924F0_g02.png,projects\outgame_navigator\0x022924F0\g02\composition.json,
outgame_navigator,0x022924F0,g03,mapped,0x022924F0/g03/00000,packages\0x022924F0\png\g03_00000_872x960_bc7.png,872,960,2,17,previews\outgame_navigator\0x022924F0_g03.png,projects\outgame_navigator\0x022924F0\g03\composition.json,
outgame_navigator,0x022924F0,g04,mapped,0x022924F0/g04/00000,packages\0x022924F0\png\g04_00000_872x960_bc7.png,872,960,2,17,previews\outgame_navigator\0x022924F0_g04.png,projects\outgame_navigator\0x022924F0\g04\composition.json,
outgame_navigator,0x022924F0,g05,mapped,0x022924F0/g05/00000,packages\0x022924F0\png\g05_00000_872x960_bc7.png,872,960,2,17,previews\outgame_navigator\0x022924F0_g05.png,projects\outgame_navigator\0x022924F0\g05\composition.json,
outgame_navigator,0x022924F0,g06,mapped,0x022924F0/g06/00000,packages\0x022924F0\png\g06_00000_872x960_bc7.png,872,960,2,35,previews\outgame_navigator\0x022924F0_g06.png,projects\outgame_navigator\0x022924F0\g06\composition.json,
outgame_navigator,0x022924F0,g07,mapped,0x022924F0/g07/00000,packages\0x022924F0\png\g07_00000_872x960_bc7.png,872,960,2,35,previews\outgame_navigator\0x022924F0_g07.png,projects\outgame_navigator\0x022924F0\g07\composition.json,
outgame_navigator,0x022924F0,g08,mapped,0x022924F0/g08/00000,packages\0x022924F0\png\g08_00000_872x960_bc7.png,872,960,2,13,previews\outgame_navigator\0x022924F0_g08.png,projects\outgame_navigator\0x022924F0\g08\composition.json,
outgame_navigator,0x022924F0,g09,mapped,0x022924F0/g09/00000,packages\0x022924F0\png\g09_00000_872x960_bc7.png,872,960,2,4,previews\outgame_navigator\0x022924F0_g09.png,projects\outgame_navigator\0x022924F0\g09\composition.json,
outgame_navigator,0x022924F0,g10,mapped,0x022924F0/g10/00000,packages\0x022924F0\png\g10_00000_872x960_bc7.png,872,960,2,10,previews\outgame_navigator\0x022924F0_g10.png,projects\outgame_navigator\0x022924F0\g10\composition.json,
combat_portrait,0x03089C4A,g00,mapped,0x03089C4A/g00/00001,packages\0x03089C4A\png\g00_00001_572x572_bc7.png,572,572,1,2,previews\combat_portrait\0x03089C4A_g00.png,projects\combat_portrait\0x03089C4A\g00\composition.json,
combat_portrait,0x030D9546,g00,mapped,0x030D9546/g00/00001,packages\0x030D9546\png\g00_00001_572x572_bc7.png,572,572,1,2,previews\combat_portrait\0x030D9546_g00.png,projects\combat_portrait\0x030D9546\g00\composition.json,
combat_portrait,0x0310AD16,g00,mapped,0x0310AD16/g00/00001,packages\0x0310AD16\png\g00_00001_572x572_bc7.png,572,572,1,2,previews\combat_portrait\0x0310AD16_g00.png,projects\combat_portrait\0x0310AD16\g00\composition.json,
combat_portrait,0x031E4B34,g00,mapped,0x031E4B34/g00/00001,packages\0x031E4B34\png\g00_00001_572x572_bc7.png,572,572,1,2,previews\combat_portrait\0x031E4B34_g00.png,projects\combat_portrait\0x031E4B34\g00\composition.json,
combat_portrait,0x03212786,g00,mapped,0x03212786/g00/00001,packages\0x03212786\png\g00_00001_572x572_bc7.png,572,572,1,2,previews\combat_portrait\0x03212786_g00.png,projects\combat_portrait\0x03212786\g00\composition.json,
outgame_navigator,0x036A9459,g00,mapped,0x036A9459/g00/00000,packages\0x036A9459\png\g00_00000_872x960_bc7.png,872,960,2,22,previews\outgame_navigator\0x036A9459_g00.png,projects\outgame_navigator\0x036A9459\g00\composition.json,
outgame_navigator,0x036A9459,g01,mapped,0x036A9459/g01/00000,packages\0x036A9459\png\g01_00000_872x960_bc7.png,872,960,2,22,previews\outgame_navigator\0x036A9459_g01.png,projects\outgame_navigator\0x036A9459\g01\composition.json,
outgame_navigator,0x036A9459,g02,mapped,0x036A9459/g02/00000,packages\0x036A9459\png\g02_00000_872x960_bc7.png,872,960,2,22,previews\outgame_navigator\0x036A9459_g02.png,projects\outgame_navigator\0x036A9459\g02\composition.json,
outgame_navigator,0x036A9459,g03,mapped,0x036A9459/g03/00000,packages\0x036A9459\png\g03_00000_872x960_bc7.png,872,960,2,20,previews\outgame_navigator\0x036A9459_g03.png,projects\outgame_navigator\0x036A9459\g03\composition.json,
outgame_navigator,0x036A9459,g04,mapped,0x036A9459/g04/00000,packages\0x036A9459\png\g04_00000_872x960_bc7.png,872,960,2,20,previews\outgame_navigator\0x036A9459_g04.png,projects\outgame_navigator\0x036A9459\g04\composition.json,
outgame_navigator,0x036A9459,g05,mapped,0x036A9459/g05/00000,packages\0x036A9459\png\g05_00000_872x960_bc7.png,872,960,2,20,previews\outgame_navigator\0x036A9459_g05.png,projects\outgame_navigator\0x036A9459\g05\composition.json,
outgame_navigator,0x036A9459,g06,mapped,0x036A9459/g06/00000,packages\0x036A9459\png\g06_00000_872x960_bc7.png,872,960,2,6,previews\outgame_navigator\0x036A9459_g06.png,projects\outgame_navigator\0x036A9459\g06\composition.json,
outgame_navigator,0x036A9459,g07,mapped,0x036A9459/g07/00000,packages\0x036A9459\png\g07_00000_872x960_bc7.png,872,960,2,6,previews\outgame_navigator\0x036A9459_g07.png,projects\outgame_navigator\0x036A9459\g07\composition.json,
outgame_navigator,0x036A9459,g08,mapped,0x036A9459/g08/00000,packages\0x036A9459\png\g08_00000_872x960_bc7.png,872,960,2,6,previews\outgame_navigator\0x036A9459_g08.png,projects\outgame_navigator\0x036A9459\g08\composition.json,
ingame_navigator,0x03CBDC9E,g00,mapped,0x03CBDC9E/g00/00000,packages\0x03CBDC9E\png\g00_00000_260x180_bc7.png,260,180,2,10,previews\ingame_navigator\0x03CBDC9E_g00.png,projects\ingame_navigator\0x03CBDC9E\g00\composition.json,
outgame_navigator,0x0544E0E9,g00,mapped,0x0544E0E9/g00/00000,packages\0x0544E0E9\png\g00_00000_872x960_bc7.png,872,960,2,36,previews\outgame_navigator\0x0544E0E9_g00.png,projects\outgame_navigator\0x0544E0E9\g00\composition.json,
outgame_navigator,0x0544E0E9,g01,mapped,0x0544E0E9/g01/00000,packages\0x0544E0E9\png\g01_00000_872x960_bc7.png,872,960,2,36,previews\outgame_navigator\0x0544E0E9_g01.png,projects\outgame_navigator\0x0544E0E9\g01\composition.json,
outgame_navigator,0x0544E0E9,g02,mapped,0x0544E0E9/g02/00000,packages\0x0544E0E9\png\g02_00000_872x960_bc7.png,872,960,2,17,previews\outgame_navigator\0x0544E0E9_g02.png,projects\outgame_navigator\0x0544E0E9\g02\composition.json,
outgame_navigator,0x0544E0E9,g03,mapped,0x0544E0E9/g03/00000,packages\0x0544E0E9\png\g03_00000_872x960_bc7.png,872,960,2,17,previews\outgame_navigator\0x0544E0E9_g03.png,projects\outgame_navigator\0x0544E0E9\g03\composition.json,
outgame_navigator,0x0544E0E9,g04,mapped,0x0544E0E9/g04/00000,packages\0x0544E0E9\png\g04_00000_872x960_bc7.png,872,960,2,17,previews\outgame_navigator\0x0544E0E9_g04.png,projects\outgame_navigator\0x0544E0E9\g04\composition.json,
outgame_navigator,0x0544E0E9,g05,mapped,0x0544E0E9/g05/00000,packages\0x0544E0E9\png\g05_00000_872x960_bc7.png,872,960,2,17,previews\outgame_navigator\0x0544E0E9_g05.png,projects\outgame_navigator\0x0544E0E9\g05\composition.json,
outgame_navigator,0x0544E0E9,g06,mapped,0x0544E0E9/g06/00000,packages\0x0544E0E9\png\g06_00000_872x960_bc7.png,872,960,2,35,previews\outgame_navigator\0x0544E0E9_g06.png,projects\outgame_navigator\0x0544E0E9\g06\composition.json,
outgame_navigator,0x0544E0E9,g07,mapped,0x0544E0E9/g07/00000,packages\0x0544E0E9\png\g07_00000_872x960_bc7.png,872,960,2,35,previews\outgame_navigator\0x0544E0E9_g07.png,projects\outgame_navigator\0x0544E0E9\g07\composition.json,
outgame_navigator,0x0544E0E9,g08,mapped,0x0544E0E9/g08/00000,packages\0x0544E0E9\png\g08_00000_872x960_bc7.png,872,960,2,13,previews\outgame_navigator\0x0544E0E9_g08.png,projects\outgame_navigator\0x0544E0E9\g08\composition.json,
