category,package,group,texture_id,role,family,state_index,embedded_index,width,height,anchor_x,anchor_y,mapping_method,coverage,boundary,match_rmse,source_png,replacement_path
outgame_navigator,0x00806795,a1,0x00806795/a1/00000,body,body,0,0,872,960,0,0,canvas,,,,packages\0x00806795\png\a1_00000_872x960_bc7.png,outgame_navigator\0x00806795\a1\a1_00000_872x960_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00001,mouth,mouth,0,1,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00001_36x36_bc7.png,outgame_navigator\0x00806795\a1\a1_00001_36x36_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00002,mouth,mouth,1,2,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00002_36x36_bc7.png,outgame_navigator\0x00806795\a1\a1_00002_36x36_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00003,mouth,mouth,2,3,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00003_36x36_bc7.png,outgame_navigator\0x00806795\a1\a1_00003_36x36_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00004,mouth,mouth,3,4,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00004_36x36_bc7.png,outgame_navigator\0x00806795\a1\a1_00004_36x36_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00005,mouth,mouth,4,5,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00005_36x36_bc7.png,outgame_navigator\0x00806795\a1\a1_00005_36x36_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00006,mouth,mouth,5,6,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00006_36x36_bc7.png,outgame_navigator\0x00806795\a1\a1_00006_36x36_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00007,mouth,mouth,6,7,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00007_36x36_bc7.png,outgame_navigator\0x00806795\a1\a1_00007_36x36_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00008,mouth,mouth,7,8,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00008_36x36_bc7.png,outgame_navigator\0x00806795\a1\a1_00008_36x36_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00009,mouth,mouth,8,9,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00009_36x36_bc7.png,outgame_navigator\0x00806795\a1\a1_00009_36x36_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00010,face_eyes,face_eyes,0,10,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00010_152x60_bc7.png,outgame_navigator\0x00806795\a1\a1_00010_152x60_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00011,face_eyes,face_eyes,1,11,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00011_152x60_bc7.png,outgame_navigator\0x00806795\a1\a1_00011_152x60_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00012,face_eyes,face_eyes,2,12,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00012_152x60_bc7.png,outgame_navigator\0x00806795\a1\a1_00012_152x60_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00013,face_eyes,face_eyes,3,13,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00013_152x60_bc7.png,outgame_navigator\0x00806795\a1\a1_00013_152x60_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00014,face_eyes,face_eyes,4,14,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00014_152x60_bc7.png,outgame_navigator\0x00806795\a1\a1_00014_152x60_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00015,face_eyes,face_eyes,5,15,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00015_152x60_bc7.png,outgame_navigator\0x00806795\a1\a1_00015_152x60_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00016,face_eyes,face_eyes,6,16,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00016_152x60_bc7.png,outgame_navigator\0x00806795\a1\a1_00016_152x60_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00017,face_eyes,face_eyes,7,17,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00017_152x60_bc7.png,outgame_navigator\0x00806795\a1\a1_00017_152x60_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00018,face_eyes,face_eyes,8,18,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00018_152x60_bc7.png,outgame_navigator\0x00806795\a1\a1_00018_152x60_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00019,face_eyes,face_eyes,9,19,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00019_152x60_bc7.png,outgame_navigator\0x00806795\a1\a1_00019_152x60_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00020,face_eyes,face_eyes,10,20,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00020_152x60_bc7.png,outgame_navigator\0x00806795\a1\a1_00020_152x60_bc7.png
outgame_navigator,0x00806795,a1,0x00806795/a1/00021,face_eyes,face_eyes,11,21,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a1_00021_152x60_bc7.png,outgame_navigator\0x00806795\a1\a1_00021_152x60_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00000,body,body,0,0,872,960,0,0,canvas,,,,packages\0x00806795\png\a2_00000_872x960_bc7.png,outgame_navigator\0x00806795\a2\a2_00000_872x960_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00001,mouth,mouth,0,1,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00001_36x36_bc7.png,outgame_navigator\0x00806795\a2\a2_00001_36x36_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00002,mouth,mouth,1,2,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00002_36x36_bc7.png,outgame_navigator\0x00806795\a2\a2_00002_36x36_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00003,mouth,mouth,2,3,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00003_36x36_bc7.png,outgame_navigator\0x00806795\a2\a2_00003_36x36_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00004,mouth,mouth,3,4,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00004_36x36_bc7.png,outgame_navigator\0x00806795\a2\a2_00004_36x36_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00005,mouth,mouth,4,5,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00005_36x36_bc7.png,outgame_navigator\0x00806795\a2\a2_00005_36x36_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00006,mouth,mouth,5,6,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00006_36x36_bc7.png,outgame_navigator\0x00806795\a2\a2_00006_36x36_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00007,mouth,mouth,6,7,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00007_36x36_bc7.png,outgame_navigator\0x00806795\a2\a2_00007_36x36_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00008,mouth,mouth,7,8,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00008_36x36_bc7.png,outgame_navigator\0x00806795\a2\a2_00008_36x36_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00009,mouth,mouth,8,9,36,36,241,286,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00009_36x36_bc7.png,outgame_navigator\0x00806795\a2\a2_00009_36x36_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00010,face_eyes,face_eyes,0,10,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00010_152x60_bc7.png,outgame_navigator\0x00806795\a2\a2_00010_152x60_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00011,face_eyes,face_eyes,1,11,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00011_152x60_bc7.png,outgame_navigator\0x00806795\a2\a2_00011_152x60_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00012,face_eyes,face_eyes,2,12,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00012_152x60_bc7.png,outgame_navigator\0x00806795\a2\a2_00012_152x60_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00013,face_eyes,face_eyes,3,13,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00013_152x60_bc7.png,outgame_navigator\0x00806795\a2\a2_00013_152x60_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00014,face_eyes,face_eyes,4,14,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00014_152x60_bc7.png,outgame_navigator\0x00806795\a2\a2_00014_152x60_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00015,face_eyes,face_eyes,5,15,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00015_152x60_bc7.png,outgame_navigator\0x00806795\a2\a2_00015_152x60_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00016,face_eyes,face_eyes,6,16,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00016_152x60_bc7.png,outgame_navigator\0x00806795\a2\a2_00016_152x60_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00017,face_eyes,face_eyes,7,17,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00017_152x60_bc7.png,outgame_navigator\0x00806795\a2\a2_00017_152x60_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00018,face_eyes,face_eyes,8,18,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00018_152x60_bc7.png,outgame_navigator\0x00806795\a2\a2_00018_152x60_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00019,face_eyes,face_eyes,9,19,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00019_152x60_bc7.png,outgame_navigator\0x00806795\a2\a2_00019_152x60_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00020,face_eyes,face_eyes,10,20,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00020_152x60_bc7.png,outgame_navigator\0x00806795\a2\a2_00020_152x60_bc7.png
outgame_navigator,0x00806795,a2,0x00806795/a2/00021,face_eyes,face_eyes,11,21,152,60,182,204,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\a2_00021_152x60_bc7.png,outgame_navigator\0x00806795\a2\a2_00021_152x60_bc7.png
outgame_navigator,0x00806795,b1,0x00806795/b1/00000,body,body,0,0,872,960,0,0,canvas,,,,packages\0x00806795\png\b1_00000_872x960_bc7.png,outgame_navigator\0x00806795\b1\b1_00000_872x960_bc7.png
outgame_navigator,0x00806795,b1,0x00806795/b1/00001,mouth,mouth,0,1,36,32,260,306,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b1_00001_36x32_bc7.png,outgame_navigator\0x00806795\b1\b1_00001_36x32_bc7.png
outgame_navigator,0x00806795,b1,0x00806795/b1/00002,mouth,mouth,1,2,36,32,260,306,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b1_00002_36x32_bc7.png,outgame_navigator\0x00806795\b1\b1_00002_36x32_bc7.png
outgame_navigator,0x00806795,b1,0x00806795/b1/00003,mouth,mouth,2,3,36,32,260,306,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b1_00003_36x32_bc7.png,outgame_navigator\0x00806795\b1\b1_00003_36x32_bc7.png
outgame_navigator,0x00806795,b1,0x00806795/b1/00004,mouth,mouth,3,4,36,32,260,306,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b1_00004_36x32_bc7.png,outgame_navigator\0x00806795\b1\b1_00004_36x32_bc7.png
outgame_navigator,0x00806795,b1,0x00806795/b1/00005,mouth,mouth,4,5,36,32,260,306,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b1_00005_36x32_bc7.png,outgame_navigator\0x00806795\b1\b1_00005_36x32_bc7.png
outgame_navigator,0x00806795,b1,0x00806795/b1/00006,mouth,mouth,5,6,36,32,260,306,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b1_00006_36x32_bc7.png,outgame_navigator\0x00806795\b1\b1_00006_36x32_bc7.png
outgame_navigator,0x00806795,b1,0x00806795/b1/00007,face_eyes,face_eyes,0,7,148,72,212,216,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b1_00007_148x72_bc7.png,outgame_navigator\0x00806795\b1\b1_00007_148x72_bc7.png
outgame_navigator,0x00806795,b1,0x00806795/b1/00008,face_eyes,face_eyes,1,8,148,72,212,216,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b1_00008_148x72_bc7.png,outgame_navigator\0x00806795\b1\b1_00008_148x72_bc7.png
outgame_navigator,0x00806795,b1,0x00806795/b1/00009,face_eyes,face_eyes,2,9,148,72,212,216,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b1_00009_148x72_bc7.png,outgame_navigator\0x00806795\b1\b1_00009_148x72_bc7.png
outgame_navigator,0x00806795,b1,0x00806795/b1/00010,face_eyes,face_eyes,3,10,148,72,212,216,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b1_00010_148x72_bc7.png,outgame_navigator\0x00806795\b1\b1_00010_148x72_bc7.png
outgame_navigator,0x00806795,b1,0x00806795/b1/00011,face_eyes,face_eyes,4,11,148,72,212,216,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b1_00011_148x72_bc7.png,outgame_navigator\0x00806795\b1\b1_00011_148x72_bc7.png
outgame_navigator,0x00806795,b1,0x00806795/b1/00012,face_eyes,face_eyes,5,12,148,72,212,216,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b1_00012_148x72_bc7.png,outgame_navigator\0x00806795\b1\b1_00012_148x72_bc7.png
outgame_navigator,0x00806795,b2,0x00806795/b2/00000,body,body,0,0,872,960,0,0,canvas,,,,packages\0x00806795\png\b2_00000_872x960_bc7.png,outgame_navigator\0x00806795\b2\b2_00000_872x960_bc7.png
outgame_navigator,0x00806795,b2,0x00806795/b2/00001,mouth,mouth,0,1,36,32,260,306,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b2_00001_36x32_bc7.png,outgame_navigator\0x00806795\b2\b2_00001_36x32_bc7.png
outgame_navigator,0x00806795,b2,0x00806795/b2/00002,mouth,mouth,1,2,36,32,260,306,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b2_00002_36x32_bc7.png,outgame_navigator\0x00806795\b2\b2_00002_36x32_bc7.png
outgame_navigator,0x00806795,b2,0x00806795/b2/00003,mouth,mouth,2,3,36,32,260,306,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b2_00003_36x32_bc7.png,outgame_navigator\0x00806795\b2\b2_00003_36x32_bc7.png
outgame_navigator,0x00806795,b2,0x00806795/b2/00004,mouth,mouth,3,4,36,32,260,306,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b2_00004_36x32_bc7.png,outgame_navigator\0x00806795\b2\b2_00004_36x32_bc7.png
outgame_navigator,0x00806795,b2,0x00806795/b2/00005,mouth,mouth,4,5,36,32,260,306,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b2_00005_36x32_bc7.png,outgame_navigator\0x00806795\b2\b2_00005_36x32_bc7.png
outgame_navigator,0x00806795,b2,0x00806795/b2/00006,mouth,mouth,5,6,36,32,260,306,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b2_00006_36x32_bc7.png,outgame_navigator\0x00806795\b2\b2_00006_36x32_bc7.png
outgame_navigator,0x00806795,b2,0x00806795/b2/00007,face_eyes,face_eyes,0,7,148,72,212,216,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b2_00007_148x72_bc7.png,outgame_navigator\0x00806795\b2\b2_00007_148x72_bc7.png
outgame_navigator,0x00806795,b2,0x00806795/b2/00008,face_eyes,face_eyes,1,8,148,72,212,216,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b2_00008_148x72_bc7.png,outgame_navigator\0x00806795\b2\b2_00008_148x72_bc7.png
outgame_navigator,0x00806795,b2,0x00806795/b2/00009,face_eyes,face_eyes,2,9,148,72,212,216,alpha_gap_rectangle,1.0,1.0,,packages\0x00806795\png\b2_00009_148x72_bc7.png,outgame_navigator\0x00806795\b2\b2_00009_148x72_bc7.png
