category,package,group,status,body_texture_id,body_png,body_width,body_height,overlay_family_count,overlay_texture_count,preview,composition,notes
outgame_navigator,0x00806795,a1,mapped,0x00806795/a1/00000,packages\outgame_navigator\0x00806795\png\a1_00000_872x960_bc7.png,872,960,2,21,previews\outgame_navigator\0x00806795_a1.png,projects\outgame_navigator\0x00806795\a1\composition.json,
outgame_navigator,0x00806795,a2,mapped,0x00806795/a2/00000,packages\outgame_navigator\0x00806795\png\a2_00000_872x960_bc7.png,872,960,2,21,previews\outgame_navigator\0x00806795_a2.png,projects\outgame_navigator\0x00806795\a2\composition.json,
outgame_navigator,0x00806795,b1,mapped,0x00806795/b1/00000,packages\outgame_navigator\0x00806795\png\b1_00000_872x960_bc7.png,872,960,2,12,previews\outgame_navigator\0x00806795_b1.png,projects\outgame_navigator\0x00806795\b1\composition.json,
outgame_navigator,0x00806795,b2,mapped,0x00806795/b2/00000,packages\outgame_navigator\0x00806795\png\b2_00000_872x960_bc7.png,872,960,2,12,previews\outgame_navigator\0x00806795_b2.png,projects\outgame_navigator\0x00806795\b2\composition.json,
outgame_navigator,0x00806795,c1,mapped,0x00806795/c1/00000,packages\outgame_navigator\0x00806795\png\c1_00000_872x960_bc7.png,872,960,2,6,previews\outgame_navigator\0x00806795_c1.png,projects\outgame_navigator\0x00806795\c1\composition.json,
ingame_navigator,0x00C36166,a1,mapped,0x00C36166/a1/00000,packages\ingame_navigator\0x00C36166\png\a1_00000_260x180_bc7.png,260,180,2,24,previews\ingame_navigator\0x00C36166_a1.png,projects\ingame_navigator\0x00C36166\a1\composition.json,
outgame_navigator,0x022924F0,a1,mapped,0x022924F0/a1/00000,packages\outgame_navigator\0x022924F0\png\a1_00000_872x960_bc7.png,872,960,2,36,previews\outgame_navigator\0x022924F0_a1.png,projects\outgame_navigator\0x022924F0\a1\composition.json,
outgame_navigator,0x022924F0,a2,mapped,0x022924F0/a2/00000,packages\outgame_navigator\0x022924F0\png\a2_00000_872x960_bc7.png,872,960,2,36,previews\outgame_navigator\0x022924F0_a2.png,projects\outgame_navigator\0x022924F0\a2\composition.json,
outgame_navigator,0x022924F0,b1,mapped,0x022924F0/b1/00000,packages\outgame_navigator\0x022924F0\png\b1_00000_872x960_bc7.png,872,960,2,17,previews\outgame_navigator\0x022924F0_b1.png,projects\outgame_navigator\0x022924F0\b1\composition.json,
outgame_navigator,0x022924F0,b2,mapped,0x022924F0/b2/00000,packages\outgame_navigator\0x022924F0\png\b2_00000_872x960_bc7.png,872,960,2,17,previews\outgame_navigator\0x022924F0_b2.png,projects\outgame_navigator\0x022924F0\b2\composition.json,
outgame_navigator,0x022924F0,b3,mapped,0x022924F0/b3/00000,packages\outgame_navigator\0x022924F0\png\b3_00000_872x960_bc7.png,872,960,2,17,previews\outgame_navigator\0x022924F0_b3.png,projects\outgame_navigator\0x022924F0\b3\composition.json,
outgame_navigator,0x022924F0,b4,mapped,0x022924F0/b4/00000,packages\outgame_navigator\0x022924F0\png\b4_00000_872x960_bc7.png,872,960,2,17,previews\outgame_navigator\0x022924F0_b4.png,projects\outgame_navigator\0x022924F0\b4\composition.json,
outgame_navigator,0x022924F0,c1,mapped,0x022924F0/c1/00000,packages\outgame_navigator\0x022924F0\png\c1_00000_872x960_bc7.png,872,960,2,35,previews\outgame_navigator\0x022924F0_c1.png,projects\outgame_navigator\0x022924F0\c1\composition.json,
outgame_navigator,0x022924F0,c2,mapped,0x022924F0/c2/00000,packages\outgame_navigator\0x022924F0\png\c2_00000_872x960_bc7.png,872,960,2,35,previews\outgame_navigator\0x022924F0_c2.png,projects\outgame_navigator\0x022924F0\c2\composition.json,
outgame_navigator,0x022924F0,d1,mapped,0x022924F0/d1/00000,packages\outgame_navigator\0x022924F0\png\d1_00000_872x960_bc7.png,872,960,2,13,previews\outgame_navigator\0x022924F0_d1.png,projects\outgame_navigator\0x022924F0\d1\composition.json,
outgame_navigator,0x022924F0,e1,mapped,0x022924F0/e1/00000,packages\outgame_navigator\0x022924F0\png\e1_00000_872x960_bc7.png,872,960,2,4,previews\outgame_navigator\0x022924F0_e1.png,projects\outgame_navigator\0x022924F0\e1\composition.json,
outgame_navigator,0x022924F0,f1,mapped,0x022924F0/f1/00000,packages\outgame_navigator\0x022924F0\png\f1_00000_872x960_bc7.png,872,960,2,10,previews\outgame_navigator\0x022924F0_f1.png,projects\outgame_navigator\0x022924F0\f1\composition.json,
combat_portrait,0x03089C4A,g00,mapped,0x03089C4A/g00/00001,packages\combat_portrait\0x03089C4A\png\g00_00001_572x572_bc7.png,572,572,1,2,previews\combat_portrait\0x03089C4A_g00.png,projects\combat_portrait\0x03089C4A\g00\composition.json,
combat_portrait,0x030D9546,g00,mapped,0x030D9546/g00/00001,packages\combat_portrait\0x030D9546\png\g00_00001_572x572_bc7.png,572,572,1,2,previews\combat_portrait\0x030D9546_g00.png,projects\combat_portrait\0x030D9546\g00\composition.json,
combat_portrait,0x0310AD16,g00,mapped,0x0310AD16/g00/00001,packages\combat_portrait\0x0310AD16\png\g00_00001_572x572_bc7.png,572,572,1,2,previews\combat_portrait\0x0310AD16_g00.png,projects\combat_portrait\0x0310AD16\g00\composition.json,
combat_portrait,0x031E4B34,g00,mapped,0x031E4B34/g00/00001,packages\combat_portrait\0x031E4B34\png\g00_00001_572x572_bc7.png,572,572,1,2,previews\combat_portrait\0x031E4B34_g00.png,projects\combat_portrait\0x031E4B34\g00\composition.json,
combat_portrait,0x03212786,g00,mapped,0x03212786/g00/00001,packages\combat_portrait\0x03212786\png\g00_00001_572x572_bc7.png,572,572,1,2,previews\combat_portrait\0x03212786_g00.png,projects\combat_portrait\0x03212786\g00\composition.json,
outgame_navigator,0x036A9459,a1,mapped,0x036A9459/a1/00000,packages\outgame_navigator\0x036A9459\png\a1_00000_872x960_bc7.png,872,960,2,22,previews\outgame_navigator\0x036A9459_a1.png,projects\outgame_navigator\0x036A9459\a1\composition.json,
outgame_navigator,0x036A9459,a2,mapped,0x036A9459/a2/00000,packages\outgame_navigator\0x036A9459\png\a2_00000_872x960_bc7.png,872,960,2,22,previews\outgame_navigator\0x036A9459_a2.png,projects\outgame_navigator\0x036A9459\a2\composition.json,
outgame_navigator,0x036A9459,a3,mapped,0x036A9459/a3/00000,packages\outgame_navigator\0x036A9459\png\a3_00000_872x960_bc7.png,872,960,2,22,previews\outgame_navigator\0x036A9459_a3.png,projects\outgame_navigator\0x036A9459\a3\composition.json,
outgame_navigator,0x036A9459,b1,mapped,0x036A9459/b1/00000,packages\outgame_navigator\0x036A9459\png\b1_00000_872x960_bc7.png,872,960,2,20,previews\outgame_navigator\0x036A9459_b1.png,projects\outgame_navigator\0x036A9459\b1\composition.json,
outgame_navigator,0x036A9459,b2,mapped,0x036A9459/b2/00000,packages\outgame_navigator\0x036A9459\png\b2_00000_872x960_bc7.png,872,960,2,20,previews\outgame_navigator\0x036A9459_b2.png,projects\outgame_navigator\0x036A9459\b2\composition.json,
outgame_navigator,0x036A9459,b3,mapped,0x036A9459/b3/00000,packages\outgame_navigator\0x036A9459\png\b3_00000_872x960_bc7.png,872,960,2,20,previews\outgame_navigator\0x036A9459_b3.png,projects\outgame_navigator\0x036A9459\b3\composition.json,
